Neighborhood,Latitude,Longitude
Sanathnagar,17.4569654,78.4434780636594
Mehdipatnam,17.3942627,78.4342514
Balanagar,17.4767464,78.4221082
Malkajgiri,17.4483438,78.5289727
Serilingampally,17.46565735,78.34067239565113
Secunderabad,17.4337246,78.5006827
Patancheru,17.5286092,78.2674254
Kompally,17.5447029,78.491842
Rajendranagar,17.3110911,78.4425854
Alwal,17.5022292,78.5088584
HITEC City,17.4490055,78.3831376
Musheerabad,17.4191423,78.4985732
Saroornagar,17.36116545,78.53875619588962
Uppal,17.4025091,78.5612562
Ameerpet,17.4375012,78.4482505
Kapra,17.4846356,78.5610095
Jubilee Hills,17.4308362,78.4102882
Khairatabad,17.4117706,78.4622003
Hayathnagar,17.3281147,78.6045399
Dilsukhnagar,17.3684307,78.5234283
Nampally,17.3918524,78.4660052
Gachibowli,17.4436222,78.3519638
Amberpet,17.390263150000003,78.516481175
LB Nagar,17.3501617,78.5510938
Kukatpally,17.4930841,78.4054408
